id,map_id,from_zone,to_zone,magnitude,direction,created_at,edited_at
43,20,1,2,1.0,north,2026-02-18T15:37:21.233260,
44,20,2,3,3.0,east,2026-02-18T15:37:46.020841,
45,20,3,4,1.0,south,2026-02-18T15:38:04.119985,
46,20,4,5,2.0,west,2026-02-18T15:38:21.439816,
47,20,5,6,1.0,south,2026-02-18T15:40:40.320270,
48,20,5,1,1.0,west,2026-02-18T15:41:18.063774,
49,21,1,2,0.1,north,2026-02-19T18:50:56.738367,
50,21,2,3,0.1,north,2026-02-19T18:51:07.377421,
51,21,3,4,0.1,north,2026-02-19T18:51:23.274248,
52,21,4,5,0.1,north,2026-02-19T18:51:37.993364,
53,21,4,2,0.2,south,2026-02-19T23:06:42.022612,
54,21,5,6,0.1,north,2026-02-19T23:19:44.731853,
55,21,4,1,0.3,south,2026-02-19T23:24:31.885982,
56,22,1,2,50.0,north,2026-02-20T12:44:47.654741,
57,22,2,3,50.0,east,2026-02-20T12:45:31.525147,
58,22,3,4,50.0,south,2026-02-20T12:46:04.197668,
59,22,4,5,50.0,east,2026-02-20T12:46:23.612510,
60,22,5,6,50.0,south,2026-02-20T12:47:15.053911,
61,22,6,7,100.0,west,2026-02-20T12:47:38.943482,
62,22,7,1,50.0,north,2026-02-20T12:47:53.317964,
63,21,5,2,0.3,south,2026-02-20T16:35:05.348991,
64,23,1,2,0.1,north,2026-02-21T18:12:28.779975,
65,23,2,3,0.3,north,2026-02-21T18:12:51.858453,
66,23,3,4,0.3,north,2026-02-21T18:13:19.962828,
67,23,4,5,0.1,north,2026-02-21T18:13:52.147129,
68,23,5,1,0.6,south,2026-02-21T18:16:11.470052,
69,23,1,6,0.1,east,2026-02-21T18:17:51.849440,
70,24,1,2,2.0,north,2026-02-21T18:43:03.248789,
71,24,2,3,0.5,west,2026-02-21T18:45:21.679730,
72,24,3,4,1.0,east,2026-02-21T18:50:02.206855,
73,24,4,2,0.5,west,2026-02-21T18:51:38.240940,
74,24,2,1,2.0,south,2026-02-21T18:52:57.562149,
75,25,1,2,1.0,north,2026-02-23T12:28:16.030751,
76,25,2,3,0.8,north,2026-02-23T12:28:29.365004,
77,25,3,5,0.95,west,2026-02-23T12:32:11.196625,2026-02-23T12:54:59.211153
78,25,5,4,1.8,south,2026-02-23T14:44:19.034631,
79,25,4,1,0.95,east,2026-02-23T14:45:03.000121,
80,25,0,5,0.5,east,2026-02-23T16:36:08.997488,2026-02-23T16:55:24.665883
81,26,1,2,2.0,east,2026-02-25T12:37:37.952824,
82,26,2,3,2.0,south,2026-02-25T12:38:12.902457,2026-02-25T13:43:26.613498
83,26,3,4,7.0,west,2026-02-25T12:38:42.037272,
84,26,4,5,3.0,north,2026-02-25T12:39:07.683250,
85,26,5,6,2.0,west,2026-02-25T12:39:34.885244,
86,26,5,7,2.0,north,2026-02-25T12:40:17.706250,
87,26,7,8,2.0,west,2026-02-25T12:40:35.906266,
88,26,7,9,3.0,north,2026-02-25T12:41:01.294678,
89,26,9,10,2.0,east,2026-02-25T12:41:20.824307,
90,26,10,11,6.0,south,2026-02-25T12:42:05.927857,
91,26,11,12,1.5,east,2026-02-25T13:09:39.889546,
92,26,12,1,1.5,east,2026-02-25T13:10:04.977121,
93,26,6,5,2.0,east,2026-02-25T15:36:44.969993,
94,26,8,7,2.0,east,2026-02-25T15:37:07.663563,
95,27,1,2,2.0,west,2026-02-28T12:45:54.437902,
96,27,2,3,6.0,north,2026-02-28T12:46:22.664260,
97,27,3,4,2.0,west,2026-02-28T12:46:51.621339,
98,27,4,5,2.0,north,2026-02-28T12:47:21.866192,
99,27,5,4,2.0,south,2026-02-28T12:47:45.987618,
100,27,4,6,2.0,east,2026-02-28T12:48:34.252084,
101,27,7,6,2.0,south,2026-02-28T12:49:36.706533,
102,27,6,8,4.0,east,2026-02-28T12:50:05.552459,
103,27,8,9,6.0,south,2026-02-28T12:50:33.083958,
104,27,9,10,4.0,west,2026-02-28T12:50:54.732571,
105,27,10,11,2.0,south,2026-02-28T12:51:25.397155,
106,27,11,12,2.0,west,2026-02-28T12:51:44.523791,
107,27,12,13,1.0,west,2026-02-28T12:52:24.628969,
108,27,13,14,2.0,west,2026-02-28T12:52:47.765899,
109,27,6,7,2.0,north,2026-03-01T12:04:00.189462,
110,27,12,1,2.0,north,2026-03-01T12:06:11.536358,
111,28,1,2,2.0,west,2026-03-03T17:17:43.161940,
112,28,2,3,6.0,north,2026-03-03T17:19:55.669516,
113,28,3,4,2.0,east,2026-03-03T17:21:38.484517,
114,28,4,5,2.0,north,2026-03-03T17:23:20.265113,
115,28,4,6,2.0,east,2026-03-03T17:24:25.650454,
116,28,6,7,2.0,north,2026-03-03T17:26:43.790569,
117,28,6,8,4.0,east,2026-03-03T17:29:56.814222,
118,28,8,9,6.0,south,2026-03-03T17:28:53.305664,2026-03-03T17:29:29.220218
119,28,9,10,4.0,west,2026-03-03T17:32:15.598139,
120,28,10,11,2.0,south,2026-03-03T17:34:29.159395,
121,28,11,12,2.0,west,2026-03-03T17:35:50.568872,
122,28,12,1,2.0,north,2026-03-03T17:36:37.655261,
123,28,5,4,2.0,south,2026-03-03T17:41:57.116614,
124,28,7,6,2.0,south,2026-03-03T17:43:39.361603,
125,29,1,2,2.0,west,2026-02-28T12:45:54.437902,
126,29,2,3,6.0,north,2026-02-28T12:46:22.664260,
127,29,3,4,2.0,east,2026-02-28T12:46:51.621339,2026-03-03T18:45:05.180549
128,29,4,5,2.0,north,2026-02-28T12:47:21.866192,
129,29,5,4,2.0,south,2026-02-28T12:47:45.987618,
130,29,4,6,2.0,east,2026-02-28T12:48:34.252084,
131,29,7,6,2.0,south,2026-02-28T12:49:36.706533,
132,29,6,8,4.0,east,2026-02-28T12:50:05.552459,
133,29,8,9,6.0,south,2026-02-28T12:50:33.083958,
134,29,9,10,4.0,west,2026-02-28T12:50:54.732571,
135,29,10,11,2.0,south,2026-02-28T12:51:25.397155,
136,29,11,12,2.0,west,2026-02-28T12:51:44.523791,
137,29,12,13,1.0,west,2026-02-28T12:52:24.628969,
138,29,13,14,2.0,west,2026-02-28T12:52:47.765899,
139,29,6,7,2.0,north,2026-03-01T12:04:00.189462,
140,29,12,1,2.0,north,2026-03-01T12:06:11.536358,
144,29,14,13,2.0,east,2026-03-03T23:30:39.838380,
145,29,13,12,1.0,east,2026-03-03T23:31:21.042108,
158,28,12,13,2.0,west,2026-03-14T18:35:05.117161,
159,28,13,14,2.0,northwest,2026-03-14T18:44:04.901256,
160,30,1,2,1.0,east,2026-03-17T11:14:49.169290,2026-03-17T11:15:57.848537
161,30,2,3,1.0,east,2026-03-17T11:15:21.767209,
162,30,3,4,3.0,south,2026-03-17T11:15:33.213090,
163,30,4,5,1.5,east,2026-03-17T11:17:15.343089,
164,30,5,6,1.5,north,2026-03-17T11:21:37.112303,
165,30,6,7,1.5,east,2026-03-17T11:22:42.198557,
166,30,7,6,1.5,west,2026-03-17T11:22:59.286055,
167,30,6,8,1.5,north,2026-03-17T11:23:09.213333,
168,30,8,9,1.5,east,2026-03-17T11:23:22.010102,
169,30,9,8,1.5,west,2026-03-17T11:23:59.155239,
170,30,8,10,1.5,north,2026-03-17T11:24:17.788050,
171,30,10,11,1.0,east,2026-03-17T11:24:32.090961,
172,30,11,12,1.0,north,2026-03-17T11:24:50.339577,
173,30,12,13,2.5,west,2026-03-17T11:25:06.278586,
174,30,13,14,1.5,south,2026-03-17T11:25:20.517212,
175,30,14,15,1.0,west,2026-03-17T11:25:41.368069,
176,30,15,16,1.0,west,2026-03-17T11:25:52.295892,
177,30,16,1,1.0,south,2026-03-17T11:26:16.844762,
178,30,15,2,1.0,south,2026-03-17T11:26:28.270578,
179,30,14,3,1.0,south,2026-03-17T11:26:37.854518,
